n_estimators,max_depth,learning_rate,subsample,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
200,7,0.03,1.0,0.7452411021140978,0.5683416063369559,UP,0.7391724586486816,0.26082754135131836
50,9,0.1,0.5,0.7456293367544883,0.5602280160732641,DOWN,0.3949538469314575,0.6050461530685425
150,3,0.1,0.8,0.7458609912186631,0.5426320794648108,UP,0.7491262555122375,0.25087374448776245
100,5,0.1,1.0,0.746752975650451,0.5629325461611615,UP,0.8775056004524231,0.1224943995475769
50,7,0.1,0.8,0.7468087912783371,0.5446412374874257,UP,0.7992174029350281,0.20078259706497192
50,7,0.1,0.5,0.747718777860312,0.542629330958624,DOWN,0.45358046889305115,0.5464195013046265
100,3,0.2,1.0,0.749092240398392,0.5541428233754954,UP,0.8316246867179871,0.16837531328201294
300,5,0.03,0.5,0.7498971770785924,0.555495088419444,UP,0.7046231031417847,0.29537689685821533
150,5,0.05,0.5,0.7502727681186059,0.5453256155279605,UP,0.8219219446182251,0.1780780553817749
250,7,0.03,0.8,0.7506565384775538,0.5649636922332711,UP,0.7863942980766296,0.21360570192337036
50,9,0.1,0.8,0.7507153221172729,0.5493961531907409,UP,0.6472015976905823,0.3527984023094177
200,7,0.03,0.5,0.7507687067231802,0.550075034218902,UP,0.7651011943817139,0.23489880561828613
200,3,0.1,1.0,0.7510734929766865,0.5487062781378321,UP,0.7922043800354004,0.2077956199645996
150,3,0.1,0.5,0.7519253937426713,0.5521116773033856,UP,0.8077288269996643,0.1922711730003357
200,5,0.05,0.8,0.7530395139807283,0.5514245507566637,UP,0.7428998351097107,0.2571001648902893
250,5,0.05,1.0,0.7549886048170641,0.5575207374791801,UP,0.8352426886558533,0.16475731134414673
200,9,0.03,0.8,0.7566638012975488,0.5642820626989232,UP,0.7898169755935669,0.2101830244064331
50,3,0.2,0.5,0.7583970490636123,0.5338176201234629,UP,0.6343540549278259,0.3656459450721741
200,9,0.03,0.5,0.7596528769936488,0.542629330958624,UP,0.8085623383522034,0.19143766164779663
100,9,0.05,1.0,0.7607669177570747,0.5581968700011544,UP,0.8080798983573914,0.19192010164260864
250,7,0.03,1.0,0.7619713126772726,0.5710488849310399,UP,0.7628061771392822,0.23719382286071777
200,5,0.05,0.5,0.7651289402970404,0.5453283640341474,UP,0.8588252067565918,0.1411747932434082
300,7,0.03,0.8,0.7653092933604286,0.5595436380327292,UP,0.821590781211853,0.17840921878814697
200,3,0.1,0.8,0.7653754011304965,0.5453283640341474,UP,0.8200211524963379,0.1799788475036621
150,7,0.05,0.8,0.7658145906090192,0.5446494830059864,UP,0.8112962245941162,0.1887037754058838
150,7,0.05,0.5,0.7661598798932668,0.5338203686296499,UP,0.6579587459564209,0.3420412540435791
50,9,0.1,1.0,0.7666777940092652,0.5581941214949674,UP,0.8298589587211609,0.1701410412788391
50,5,0.2,1.0,0.7677653517082669,0.5663049632524723,UP,0.8071117401123047,0.1928882598876953
200,9,0.03,1.0,0.7686160776656208,0.5595408895265424,UP,0.8451282978057861,0.15487170219421387
250,7,0.03,0.5,0.7690287233348713,0.5494016502031146,UP,0.8168404698371887,0.18315953016281128
100,5,0.1,0.8,0.7693670976071522,0.5311103415293787,UP,0.6669849157333374,0.3330150842666626
150,9,0.05,0.5,0.7699842379194193,0.5534666908535212,UP,0.7504591941833496,0.2495408058166504
250,3,0.1,1.0,0.7706610739089245,0.5500585431817807,UP,0.8278376460075378,0.17216235399246216
100,3,0.2,0.8,0.7738200140977023,0.5345129921887454,UP,0.7225244045257568,0.27747559547424316
150,7,0.05,1.0,0.7738247119609672,0.5568446049572058,UP,0.8004274964332581,0.19957250356674194
250,5,0.05,0.8,0.774547128330143,0.5432917209496638,UP,0.7296862006187439,0.2703137993812561
150,9,0.05,0.8,0.7754799021913567,0.5453256155279605,UP,0.8775470852851868,0.12245291471481323
300,5,0.05,1.0,0.7766193807321716,0.5500777827250889,UP,0.845790684223175,0.15420931577682495
200,3,0.1,0.5,0.777323321400241,0.5432944694558507,UP,0.8370563387870789,0.16294366121292114
250,9,0.03,0.8,0.7775280027850625,0.5527795643067993,UP,0.805790901184082,0.19420909881591797
300,7,0.03,1.0,0.7777955446396074,0.5636004331645751,UP,0.8020975589752197,0.19790244102478027
50,5,0.2,0.8,0.7783588386149288,0.5487337631997009,UP,0.7316155433654785,0.2683844566345215
250,5,0.05,0.5,0.7793344329982014,0.55141905374429,UP,0.8672386407852173,0.13276135921478271
250,9,0.03,0.5,0.7808037343987949,0.550072285712715,UP,0.8261628150939941,0.17383718490600586
300,7,0.03,0.5,0.7823175474549983,0.5487172721625796,UP,0.8277255892753601,0.1722744107246399
150,3,0.2,1.0,0.7853849831446964,0.5541263323383742,UP,0.9024436473846436,0.09755635261535645
